model,threshold_strategy,threshold,fs_accuracy,test_accuracy,test_balanced_accuracy,confusion_matrix
gb_lr0.05_d1,sweep,0.5012857928611966,0.645,0.824317617866005,0.836021505376344,"[[742, 343], [11, 919]]"
gb_lr0.05_d2,sweep,0.5453690846937106,0.6266129032258064,0.824317617866005,0.8315668202764976,"[[800, 285], [69, 861]]"
gb_lr0.03_d2,sweep,0.6512907199456998,0.6016129032258064,0.824317617866005,0.8244239631336405,"[[893, 192], [162, 768]]"
gb_lr0.05_d1,sweep,0.5102492033618311,0.6435483870967742,0.8238213399503722,0.8354070660522273,"[[743, 342], [13, 917]]"
gb_lr0.03_d3,sweep,0.5610493812491928,0.6266129032258064,0.8238213399503722,0.8307987711213518,"[[803, 282], [73, 857]]"
gb_lr0.05_d2,sweep,0.5905098650627393,0.6208064516129033,0.8238213399503722,0.8278801843317972,"[[841, 244], [111, 819]]"
gb_lr0.05_d1,sweep,0.6391974933310606,0.6143548387096774,0.8238213399503722,0.8255760368663594,"[[871, 214], [141, 789]]"
ada100,sweep,0.5037499095573174,0.602741935483871,0.8238213399503722,0.8247311827956989,"[[882, 203], [152, 778]]"
gb_lr0.03_d2,sweep,0.5027838512719717,0.6420967741935484,0.8233250620347394,0.8327188940092166,"[[771, 314], [42, 888]]"
gb_lr0.05_d2,sweep,0.5333761091278363,0.6267741935483871,0.8233250620347394,0.8311059907834102,"[[792, 293], [63, 867]]"
gb_lr0.03_d3,sweep,0.5575907145472827,0.6261290322580645,0.8233250620347394,0.830568356374808,"[[799, 286], [70, 860]]"
gb_lr0.03_d3,sweep,0.6477535411176992,0.6096774193548387,0.8233250620347394,0.8245007680491552,"[[878, 207], [149, 781]]"
ada100,sweep,0.5036854054020311,0.6035483870967742,0.8233250620347394,0.8245007680491552,"[[878, 207], [149, 781]]"
gb_lr0.03_d3,sweep,0.6682252108005632,0.6033870967741936,0.8233250620347394,0.8231182795698925,"[[896, 189], [167, 763]]"
gb_lr0.03_d2,sweep,0.5013444552364531,0.6408064516129032,0.8228287841191066,0.8323348694316437,"[[769, 316], [41, 889]]"
gb_lr0.05_d2,sweep,0.5657891459895917,0.6243548387096775,0.8228287841191066,0.8287250384024578,"[[816, 269], [88, 842]]"
gb_lr0.03_d2,sweep,0.6647531029814574,0.5951612903225807,0.8228287841191066,0.8221966205837173,"[[901, 184], [173, 757]]"
gnb,sweep,0.9999999999999998,0.609516129032258,0.822332506203474,0.8350230414746544,"[[727, 358], [0, 930]]"
gb_lr0.05_d1,sweep,0.4934366196245117,0.6446774193548387,0.822332506203474,0.8344086021505377,"[[735, 350], [8, 922]]"
gb_lr0.03_d2,default_predict,,,0.822332506203474,0.831874039938556,"[[768, 317], [41, 889]]"
gb_lr0.03_d2,sweep,0.5,0.6411290322580645,0.822332506203474,0.831874039938556,"[[768, 317], [41, 889]]"
gb_lr0.05_d2,sweep,0.5674182885429769,0.6237096774193548,0.822332506203474,0.8280337941628264,"[[818, 267], [91, 839]]"
gb_lr0.05_d2,sweep,0.6136936055951953,0.6208064516129033,0.822332506203474,0.8242703533026114,"[[867, 218], [140, 790]]"
gb_lr0.05_d1,sweep,0.6485173659555009,0.6104838709677419,0.822332506203474,0.8228878648233486,"[[885, 200], [158, 772]]"
gb_lr0.08_d1,sweep,0.6461968069875634,0.6143548387096774,0.822332506203474,0.8227342549923196,"[[887, 198], [160, 770]]"
gb_lr0.03_d2,sweep,0.6586183301303412,0.5991935483870968,0.822332506203474,0.8220430107526882,"[[896, 189], [169, 761]]"
gb_lr0.03_d2,sweep,0.6606952486471749,0.5982258064516129,0.822332506203474,0.8219662058371736,"[[897, 188], [170, 760]]"
gb_lr0.03_d3,sweep,0.6711318239385123,0.6022580645161291,0.822332506203474,0.8219662058371736,"[[897, 188], [170, 760]]"
gb_lr0.08_d1,sweep,0.5101809990832581,0.641774193548387,0.8218362282878412,0.8325652841781874,"[[752, 333], [26, 904]]"
gb_lr0.03_d3,sweep,0.5396466975382196,0.6259677419354839,0.8218362282878412,0.829800307219662,"[[788, 297], [62, 868]]"
