pos_weight,min_samples_leaf,max_features,threshold_strategy,threshold,fs_accuracy,fs_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_confusion_matrix
0.65,12,0.4,fs_balanced,0.4749515627287584,0.6369354838709678,0.6409006386935079,0.8332506203473945,0.8444700460829493,"[[758, 327], [9, 921]]"
1.0,8,0.25,default,0.5,0.63,0.6353302611367128,0.8297766749379653,0.8417818740399385,"[[744, 341], [2, 928]]"
1.0,8,0.25,fs_accuracy,0.5309871220749948,0.635483870967742,0.6388390330665372,0.8426799007444169,0.853225806451613,"[[777, 308], [9, 921]]"
1.0,8,0.25,fs_balanced,0.5194566088522868,0.6348387096774194,0.6390007276255154,0.8382133995037221,0.8493087557603687,"[[765, 320], [6, 924]]"
0.8,5,sqrt,default,0.5,0.6329032258064516,0.636834020535209,0.8342431761786601,0.8460829493087558,"[[751, 334], [0, 930]]"
0.8,5,sqrt,fs_accuracy,0.50350058099833,0.6332258064516129,0.6369795456382893,0.8382133995037221,0.8497695852534561,"[[759, 326], [0, 930]]"
0.8,5,sqrt,fs_balanced,0.50350058099833,0.6332258064516129,0.6369795456382893,0.8382133995037221,0.8497695852534561,"[[759, 326], [0, 930]]"
0.55,10,sqrt,default,0.5,0.6296774193548387,0.630560271646859,0.8630272952853598,0.872657450076805,"[[811, 274], [2, 928]]"
0.55,10,sqrt,fs_accuracy,0.46272726532976627,0.636774193548387,0.6399385560675883,0.8446650124069479,0.8557603686635944,"[[772, 313], [0, 930]]"
0.55,10,sqrt,fs_balanced,0.46272726532976627,0.636774193548387,0.6399385560675883,0.8446650124069479,0.8557603686635944,"[[772, 313], [0, 930]]"
0.45,4,0.6,default,0.5,0.6383870967741936,0.641652518392756,0.8431761786600497,0.8531490015360983,"[[785, 300], [16, 914]]"
0.45,4,0.6,fs_accuracy,0.5096950488028903,0.6396774193548387,0.6424448217317487,0.8446650124069479,0.8541474654377881,"[[793, 292], [21, 909]]"
0.45,4,0.6,fs_balanced,0.505465860671865,0.6395161290322581,0.6424852453714933,0.8446650124069479,0.8543778801843318,"[[790, 295], [18, 912]]"
0.55,12,0.25,default,0.5,0.6375806451612903,0.6391381680006467,0.8531017369727047,0.8624423963133641,"[[804, 281], [15, 915]]"
0.55,12,0.25,fs_accuracy,0.47531475754986235,0.6403225806451613,0.6430915999676611,0.8486352357320099,0.8590629800307219,"[[785, 300], [5, 925]]"
0.55,12,0.25,fs_balanced,0.47531475754986235,0.6403225806451613,0.6430915999676611,0.8486352357320099,0.8590629800307219,"[[785, 300], [5, 925]]"
1.0,5,0.25,default,0.5,0.6279032258064516,0.6333818417010268,0.8297766749379653,0.841705069124424,"[[745, 340], [3, 927]]"
1.0,5,0.25,fs_accuracy,0.5304429997161311,0.635,0.6385560675883257,0.8436724565756824,0.8542242703533026,"[[778, 307], [8, 922]]"
1.0,5,0.25,fs_balanced,0.5304429997161311,0.635,0.6385560675883257,0.8436724565756824,0.8542242703533026,"[[778, 307], [8, 922]]"
0.65,4,0.25,default,0.5,0.636774193548387,0.6405853343035007,0.8406947890818859,0.8517665130568357,"[[768, 317], [4, 926]]"
0.65,4,0.25,fs_accuracy,0.5054796466011814,0.637258064516129,0.640819791414019,0.8421836228287841,0.8529953917050691,"[[773, 312], [6, 924]]"
0.65,4,0.25,fs_balanced,0.5054796466011814,0.637258064516129,0.640819791414019,0.8421836228287841,0.8529953917050691,"[[773, 312], [6, 924]]"
0.35,6,0.6,default,0.5,0.6383870967741936,0.6401002506265664,0.8491315136476427,0.8570660522273426,"[[818, 267], [37, 893]]"
0.35,6,0.6,fs_accuracy,0.4681955972879265,0.6416129032258064,0.6449834263077048,0.832258064516129,0.8427803379416283,"[[766, 319], [19, 911]]"
0.35,6,0.6,fs_balanced,0.4681955972879265,0.6416129032258064,0.6449834263077048,0.832258064516129,0.8427803379416283,"[[766, 319], [19, 911]]"
0.8,12,0.6,default,0.5,0.6361290322580645,0.6402619451855445,0.8367245657568239,0.8465437788018433,"[[780, 305], [24, 906]]"
0.8,12,0.6,fs_accuracy,0.4992534475734239,0.6364516129032258,0.6406176732152964,0.8367245657568239,0.8465437788018433,"[[780, 305], [24, 906]]"
0.8,12,0.6,fs_balanced,0.4920490862972033,0.6361290322580645,0.6406985204947853,0.8327543424317618,0.8430875576036867,"[[769, 316], [21, 909]]"
0.8,8,0.4,default,0.5,0.6337096774193548,0.6378931198965154,0.8357320099255583,0.8463133640552996,"[[769, 316], [15, 915]]"
0.8,8,0.4,fs_accuracy,0.5154622477954792,0.6364516129032258,0.6398092004204059,0.8421836228287841,0.8516897081413211,"[[790, 295], [23, 907]]"
